FUNCTION_ONE,FUNCTION_TWO,LABEL,SIMILARITY
"    public static int[] bubbleSort(int... a) {
        boolean swapped;
        do {
            swapped = false;
            for (int i = 0; i < a.length - 1; i++) {
                if (a[i] > a[i + 1]) {
                    int tmp = a[i];
                    a[i] = a[i + 1];
                    a[i + 1] = tmp;
                    swapped = true;
                }
            }
        } while (swapped);
        return a;
    }","    public void bubbleSort(int[] arr) {
        boolean swapped = true;
        int j = 0;
        int tmp;
        while (swapped) {
            swapped = false;
            j++;
            for (int i = 0; i < arr.length - j; i++) {
                if (arr[i] > arr[i + 1]) {
                    tmp = arr[i];
                    arr[i] = arr[i + 1];
                    arr[i + 1] = tmp;
                    swapped = true;
                }
            }
        }
    }",1,0.99899423
"            public void actionPerformed(ActionEvent e) {
                if (filechooser == null) {
                    filechooser = new JFileChooser();
                    filechooser.setFileSelectionMode(JFileChooser.FILES_ONLY);
                }
                if (filechooser.showOpenDialog(ImageDisplay.this) == JFileChooser.APPROVE_OPTION) {
                    open(filechooser.getSelectedFile());
                }
            }","    protected void browseFile(JTextField dest) {
        if (fileChooser == null) {
            fileChooser = new JFileChooser();
            fileChooser.setFileSelectionMode(JFileChooser.FILES_AND_DIRECTORIES);
        }
        if (fileChooser.showOpenDialog(frame) == JFileChooser.APPROVE_OPTION) {
            File f = fileChooser.getSelectedFile();
            if (f != null) dest.setText(f.getPath());
        }
    }",1,0.9979912
"    private static double[][] createCostMatrix(SimplePoint2d[] cities) {
        final int noCity = cities.length;
        double[][] dMat = new double[noCity][noCity];
        for (int i = 0; i < noCity; i++) {
            dMat[i][i] = 0.0;
            for (int j = i + 1; j < noCity; j++) {
                dMat[i][j] = SimplePoint2d.distance(cities[i], cities[j]);
                dMat[j][i] = dMat[i][j];
            }
        }
        return dMat;
    }","    public RealSquareMatrix copyUpperToLower() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[j][i] = flmat[i][j];
            }
        }
        return this;
    }",1,0.9938827
"    public Matrix transpose() {
        int n = rows();
        int m = columns();
        double[][] newComponents = new double[m][n];
        for (int i = 0; i < n; i++) {
            for (int j = 0; j < m; j++) newComponents[j][i] = components[i][j];
        }
        return new Matrix(newComponents);
    }","    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",1,0.99835324
"    public void transpose() {
        Matrix t = new Matrix(_column, _row);
        for (int row = 0; row < _row; row++) {
            for (int column = 0; column < _column; column++) {
                t._cell[column][row] = _cell[row][column];
            }
        }
        _row = t._row;
        _column = t._column;
        _cell = t._cell;
    }","    public static double[][] transpose(double[][] in) {
        assert in != null;
        int h = in.length;
        int w = in[0].length;
        double[][] out = new double[w][h];
        for (int y = 0; y < h; y++) {
            for (int x = 0; x < w; x++) {
                out[x][y] = in[y][x];
            }
        }
        return out;
    }",1,0.9968688
"    public static Image[][] reversalXandY(final Image[][] array) {
        int col = array[0].length;
        int row = array.length;
        Image[][] result = new Image[col][row];
        for (int y = 0; y < col; y++) {
            for (int x = 0; x < row; x++) {
                result[x][y] = array[y][x];
            }
        }
        return result;
    }","    public Matrix transpose() {
        Matrix X = new Matrix(n, m);
        double[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",1,0.9967332
"    public static double[][] calcTranspose(double[][] mat) {
        double[][] transpose = new double[mat[0].length][mat.length];
        for (int a = 0; a < transpose.length; a++) {
            for (int b = 0; b < transpose[0].length; b++) {
                transpose[a][b] = mat[b][a];
            }
        }
        return transpose;
    }","    public Matrix44 transpose() {
        Matrix44 result = new Matrix44();
        for (int i = 0; i < 4; i++) {
            for (int j = 0; j < 4; j++) {
                result._m[i][j] = _m[j][i];
            }
        }
        return result;
    }",1,0.99346936
"        public void actionPerformed(ActionEvent ae) {
            if (Desktop.isDesktopSupported()) {
                try {
                    Desktop d = Desktop.getDesktop();
                    d.browse(new URI(MasteryCards.SITE_URL));
                } catch (Exception e) {
                    Methods.displaySimpleError(framer, ""Can't access website; check internet connection?\nPlease visit '"" + MasteryCards.GPL_URL + ""' to view GPL"");
                }
            } else {
                Methods.displaySimpleAlert(framer, ""Please visit '"" + MasteryCards.SITE_URL + ""' to check latest version"");
            }
        }","            public void hyperlinkUpdate(HyperlinkEvent e) {
                if (e.getEventType() == HyperlinkEvent.EventType.ACTIVATED) {
                    try {
                        if (Desktop.isDesktopSupported()) {
                            Desktop.getDesktop().browse(e.getURL().toURI());
                        } else Tools.openURL(e.getURL().toString());
                    } catch (Exception x) {
                        JOptionPane.showMessageDialog(module.getActions().getFrame(), x.getMessage());
                    }
                }
            }",1,0.99571556
"    private void open(URI uri) {
        if (Desktop.isDesktopSupported()) {
            Desktop desktop = Desktop.getDesktop();
            try {
                desktop.browse(uri);
            } catch (IOException e) {
                e.printStackTrace();
            }
        } else {
        }
    }","                public void actionPerformed(ActionEvent e) {
                    checkAndDisplayMessages();
                    if (Desktop.isDesktopSupported()) {
                        try {
                            URI uri = new URI(""https://www.google.com/voice/"");
                            Desktop.getDesktop().browse(uri);
                        } catch (URISyntaxException e1) {
                            e1.printStackTrace();
                        } catch (IOException e1) {
                            e1.printStackTrace();
                        }
                    }
                }",1,0.9933579
"    public static <E> E[][] transpose(final E[][] matrix, final E[][] transposed) {
        for (int i = matrix.length; --i >= 0; ) {
            for (int j = matrix[i].length; --j >= 0; ) {
                transposed[j][i] = matrix[i][j];
            }
        }
        return transposed;
    }","    public IntSquareMatrix copyLowerToUpper() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[i][j] = flmat[j][i];
            }
        }
        return this;
    }",1,0.9934863
"            public void mouseClicked(MouseEvent me) {
                if (Desktop.isDesktopSupported()) {
                    Desktop desktop = Desktop.getDesktop();
                    try {
                        desktop.browse(new URI(""http://www.ignissoft.com""));
                    } catch (Exception e) {
                        log.log(Level.WARNING, ""Failed openning browser to Ignis website: "" + e.getMessage());
                    }
                }
            }","    private void open(URI uri) {
        if (Desktop.isDesktopSupported()) {
            Desktop desktop = Desktop.getDesktop();
            try {
                desktop.browse(uri);
            } catch (IOException e) {
                e.printStackTrace();
            }
        } else {
        }
    }",1,0.9951583
"    public void actionPerformed(ActionEvent e) {
        if (Desktop.isDesktopSupported()) {
            try {
                Desktop.getDesktop().browse(new URL(url).toURI());
            } catch (IOException e1) {
                e1.printStackTrace();
            } catch (URISyntaxException e1) {
                e1.printStackTrace();
            }
        } else {
            JOptionPane.showConfirmDialog(null, ""Can not determine the default web browser.\n"" + url);
        }
    }","            @Override
            public void mouseClicked(MouseEvent me) {
                if (Desktop.isDesktopSupported()) {
                    try {
                        Desktop.getDesktop().browse(new URI(resourceMap.getString(""Application.homepage"")));
                    } catch (URISyntaxException urise) {
                        logger.log(Level.WARNING, ""Incorrect URI"", urise);
                    } catch (IOException ioe) {
                        logger.log(Level.WARNING, ""General IO Error"", ioe);
                    }
                }
            }",1,0.9967685
"    public static Object[] append(Object[] oldArray, Object o) {
        NullArgumentException.check(oldArray);
        NullArgumentException.check(o);
        Object[] newArray = (Object[]) Array.newInstance(oldArray.getClass().getComponentType(), oldArray.length + 1);
        System.arraycopy(oldArray, 0, newArray, 0, oldArray.length);
        newArray[oldArray.length] = o;
        return newArray;
    }","    public static Object[] add(final Object[] array, final Object obj) {
        final Object[] newArray = (Object[]) Array.newInstance(array.getClass().getComponentType(), array.length + 1);
        System.arraycopy(array, 0, newArray, 0, array.length);
        newArray[array.length] = obj;
        return newArray;
    }",1,0.9979668
"    public CMatrix transpose() {
        CMatrix X = new CMatrix(n, m);
        Complex[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }","    public IntSquareMatrix copyLowerToUpper() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[i][j] = flmat[j][i];
            }
        }
        return this;
    }",1,0.99690557
"    private float[][] transpose(float[][] m) {
        float[][] toReturn = new float[m[0].length][m.length];
        for (int i = 0; i < m.length; i++) {
            for (int j = 0; j < m[0].length; j++) {
                toReturn[j][i] = m[i][j];
            }
        }
        return toReturn;
    }","    @Override
    public BasicCohoMatrix<V> transpose() {
        V[][] d = createArray(data[0].length, data.length);
        int[][] p = new int[pos[0].length][pos.length];
        for (int i = 0; i < data.length; i++) {
            for (int j = 0; j < data[0].length; j++) {
                d[j][i] = data[i][j];
                p[j][i] = pos[i][j];
            }
        }
        BasicCohoMatrix<V> result = new BasicCohoMatrix(type.zero(), d, p, ncols, nrows, !isDual);
        return result;
    }",1,0.9894026
"    public static LImage[][] reversalXandY(final LImage[][] array) {
        int col = array[0].length;
        int row = array.length;
        LImage[][] result = new LImage[col][row];
        for (int y = 0; y < col; y++) {
            for (int x = 0; x < row; x++) {
                result[x][y] = array[y][x];
            }
        }
        return result;
    }","    public static int[][] transpose(int[][] array) {
        int[][] result = new int[array[0].length][array.length];
        for (int i = 0; i < array[0].length; i++) {
            for (int j = 0; j < array.length; j++) {
                result[i][j] = array[j][i];
            }
        }
        return result;
    }",1,0.99793774
"    public long fib(long n) {
        if (n <= 1) return n; else return fib(n - 1) + fib(n - 2);
    }","    public int fib(int n) {
        if (n == 0 || n == 1) return 1; else return fib(n - 1) + fib(n - 2);
    }",1,0.99876314
"    public static double[][] invertMatrix(double[][] matrix) {
        int firstDimentionOfResultMatrix = matrix[0].length;
        int secondDimentionOfResultMatrix = matrix.length;
        double[][] resultMatrix = new double[firstDimentionOfResultMatrix][secondDimentionOfResultMatrix];
        for (int i = 0; i < matrix.length; i++) {
            for (int j = 0; j < matrix[0].length; j++) {
                resultMatrix[j][i] = matrix[i][j];
            }
        }
        return resultMatrix;
    }","    public RoutesMap getInverse() {
        DenseRoutesMap transposed = new DenseRoutesMap(distances.length);
        for (int i = 0; i < distances.length; i++) {
            for (int j = 0; j < distances.length; j++) {
                transposed.distances[i][j] = distances[j][i];
            }
        }
        return transposed;
    }",1,0.9976566
"    private void openDateFormatHelpButtonActionPerformed(java.awt.event.ActionEvent evt) {
        if (Desktop.isDesktopSupported()) {
            try {
                Desktop.getDesktop().browse(new URI(""http://java.sun.com/javase/6/docs/api/java/text/SimpleDateFormat.html""));
            } catch (Exception err) {
            }
        }
    }","    private static void open(URI uri) {
        if (Desktop.isDesktopSupported()) {
            Desktop desktop = Desktop.getDesktop();
            try {
                desktop.browse(uri);
            } catch (IOException e) {
            }
        } else {
        }
    }",1,0.994906
"    private static boolean deleteFile(File resource) throws IOException {
        if (resource.isDirectory()) {
            File[] childFiles = resource.listFiles();
            for (File child : childFiles) {
                deleteFile(child);
            }
        }
        return resource.delete();
    }","    protected boolean recursiveFileDelete(File file) {
        if (file.isDirectory()) {
            for (File fChild : file.listFiles()) {
                recursiveFileDelete(fChild);
            }
        }
        return file.delete();
    }",1,0.99904263
"    public static double[][] Transpose(double[][] a) {
        if (logger.isLoggable(Level.FINEST)) {
            logger.finest(""Performing Transpose..."");
        }
        int tms = a.length;
        double m[][] = new double[tms][tms];
        for (int i = 0; i < tms; i++) {
            for (int j = 0; j < tms; j++) {
                m[i][j] = a[j][i];
            }
        }
        return m;
    }","    public GCGCDatum[][] toArray() {
        GCGCDatum tempArray[][] = new GCGCDatum[getNumberRows()][];
        GCGCDatum returnedArray[][] = new GCGCDatum[getNumberCols()][getNumberRows()];
        for (int i = 0; i < getNumberRows(); i++) {
            tempArray[i] = ((List<GCGCDatum>) peakList.get(i).getVar(""getDatumArray"")).toArray(new GCGCDatum[0]);
        }
        for (int i = 0; i < getNumberRows(); i++) {
            for (int j = 0; j < getNumberCols(); j++) {
                returnedArray[j][i] = tempArray[i][j];
            }
        }
        return returnedArray;
    }",1,0.99438137
"    public static double[][] transposed(double[][] matrix) {
        int row = matrix[0].length;
        int line = matrix.length;
        double[][] ans = new double[row][line];
        for (int i = 0; i < line; i++) {
            for (int j = 0; j < row; j++) {
                ans[j][i] = matrix[i][j];
            }
        }
        return ans;
    }","    public void transpose() {
        for (int i = 0; i < rows; i++) {
            for (int j = 0; j < i; j++) {
                double t = flmat[i][j];
                flmat[i][j] = flmat[j][i];
                flmat[j][i] = t;
            }
        }
    }",1,0.99748677
"    public static void delete(File f) {
        File[] files = f.listFiles();
        for (int i = 0; i < files.length; i++) {
            if (files[i].isFile()) {
                files[i].delete();
            } else if (files[i].isDirectory()) {
                if (!files[i].delete()) {
                    delete(files[i]);
                }
            }
        }
        deleteDirectory(f);
    }","    private static void deleteDir(final File dir) {
        File[] outDirContents = dir.listFiles();
        for (int i = 0; i < outDirContents.length; i++) {
            if (isLink(outDirContents[i])) {
                continue;
            }
            if (outDirContents[i].isDirectory()) {
                deleteDir(outDirContents[i]);
            }
            if (!outDirContents[i].delete() && outDirContents[i].exists()) {
                log.error(""Could not delete "" + outDirContents[i].getAbsolutePath());
            }
        }
        if (!dir.delete()) {
            log.error(""Could not delete "" + dir.getAbsolutePath());
        }
    }",1,0.9976806
"    public static int binarySearch(int[] a, int key) {
        int low = 0;
        int high = a.length - 1;
        while (low <= high) {
            int mid = (low + high) / 2;
            int midVal = a[mid];
            if (midVal < key) low = mid + 1; else if (midVal > key) high = mid - 1; else return mid;
        }
        return -(low + 1);
    }","	public static <T extends Comparable<T>> int binarySearch4(T[] arr, T key) {
		int imin = 0;
		int imax = arr.length - 1;
		while(imin <= imax) {
			int imid = imin + (imax - imin)/2;
			if (key.compareTo(arr[imid]) < 0)//(key < arr[imid])
				imax = imid-1;
			else if (key.compareTo(arr[imid]) > 0)//(key > arr[imid])
				imin = imid + 1;
			else
				return imid;
		}
		return -1;
	}",1,0.9912792
"    protected void browseFile(JTextField dest) {
        if (fileChooser == null) {
            fileChooser = new JFileChooser();
            fileChooser.setFileSelectionMode(JFileChooser.FILES_AND_DIRECTORIES);
        }
        if (fileChooser.showOpenDialog(frame) == JFileChooser.APPROVE_OPTION) {
            File f = fileChooser.getSelectedFile();
            if (f != null) dest.setText(f.getPath());
        }
    }","            public void actionPerformed(ActionEvent e) {
                if (filechooser == null) {
                    filechooser = new JFileChooser();
                    filechooser.setFileSelectionMode(JFileChooser.FILES_ONLY);
                }
                if (filechooser.showOpenDialog(ImageDisplay.this) == JFileChooser.APPROVE_OPTION) {
                    open(filechooser.getSelectedFile());
                }
            }",1,0.9979912
"    public IntSquareMatrix copyUpperToLower() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[j][i] = flmat[i][j];
            }
        }
        return this;
    }","    public static double[][] transpose(double[][] object) {
        double[][] transpose = new double[object[0].length][object.length];
        for (int i = 0; i < object.length; i++) {
            for (int x = 0; x < transpose.length; x++) {
                transpose[x][i] = object[i][x];
            }
        }
        return transpose;
    }",1,0.99565756
"    public static double[][] getCorrMatrix(Gene[] gene) {
        double[][] c = new double[gene.length][gene.length];
        for (int i = 0; i < c.length - 1; i++) {
            for (int j = i + 1; j < c.length; j++) {
                c[i][j] = Pearson.calcCorrelation(gene[i].value, gene[j].value);
                c[j][i] = c[i][j];
            }
        }
        return c;
    }","    public FloatMatrix transpose() {
        FloatMatrix X = new FloatMatrix(n, m);
        float[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",1,0.9978037
"    public static boolean delete(File resource) throws IOException {
        if (resource.isDirectory()) {
            File[] childFiles = resource.listFiles();
            for (File child : childFiles) {
                delete(child);
            }
        }
        return resource.delete();
    }","    @Ignore
    public static void deleteTestFiles(File dir) {
        assertTrue(ensureDirIsTest(dir));
        File[] files = dir.listFiles();
        for (File f : files) {
            if (f.isDirectory()) {
                deleteTestFiles(f);
            }
            f.delete();
        }
    }",1,0.99708056
"    protected void saveClassifier() {
        JFileChooser chooser = new JFileChooser();
        try {
            chooser.setCurrentDirectory(new File(new File(""."").getCanonicalPath()));
        } catch (IOException ioe) {
        }
        int returnVal = chooser.showSaveDialog(frame);
        if (returnVal == JFileChooser.APPROVE_OPTION) {
            if (classifiers.size() < 1) return;
            classifiers.get(INDEX_RUBINE).save(chooser.getSelectedFile());
        }
    }","            public void actionPerformed(ActionEvent e) {
                JFileChooser chooser = new JFileChooser();
                try {
                    chooser.setCurrentDirectory(new File(new File(""."").getCanonicalPath()));
                } catch (IOException ioe) {
                }
                int returnVal = chooser.showOpenDialog(frame);
                if (returnVal == JFileChooser.APPROVE_OPTION) {
                    openFile(chooser.getSelectedFile());
                }
            }",1,0.99683166
"    public static double[][] transpose(double[][] doubleBox) {
        YeriDebug.ASSERT(CollectionsToolkit.isRectangular(doubleBox));
        double[][] returnBox = new double[doubleBox[0].length][doubleBox.length];
        for (int i = 0; i < doubleBox.length; i++) {
            for (int j = 0; j < doubleBox[i].length; j++) {
                returnBox[j][i] = doubleBox[i][j];
            }
        }
        return returnBox;
    }","    public RealSquareMatrix copyUpperToLower() {
        for (int i = 0; i < cols - 1; i++) {
            for (int j = i + 1; j < cols; j++) {
                flmat[j][i] = flmat[i][j];
            }
        }
        return this;
    }",1,0.9957922
"    public static double[][] invertMatrix(double[][] matrix) {
        int firstDimentionOfResultMatrix = matrix[0].length;
        int secondDimentionOfResultMatrix = matrix.length;
        double[][] resultMatrix = new double[firstDimentionOfResultMatrix][secondDimentionOfResultMatrix];
        for (int i = 0; i < matrix.length; i++) {
            for (int j = 0; j < matrix[0].length; j++) {
                resultMatrix[j][i] = matrix[i][j];
            }
        }
        return resultMatrix;
    }","    public double[][] getMatrixFromTree(double p) {
        double[][] Mat = new double[numdata][numdata];
        for (int i = 0; i < numdata; i++) {
            for (int j = 0; j < i; j++) {
                Mat[i][j] = -p * Math.log(getTreeDist(i, j));
                Mat[j][i] = Mat[i][j];
            }
        }
        return Mat;
    }",1,0.9971224
"    public static double[][] transposeMatrix(double[][] vector) {
        double[][] tm = new double[vector[0].length][vector.length];
        for (int i = 0; i < tm.length; i++) {
            for (int j = 0; j < tm[i].length; j++) {
                tm[i][j] = vector[j][i];
            }
        }
        return tm;
    }","    public FloatMatrix transpose() {
        FloatMatrix X = new FloatMatrix(n, m);
        float[][] C = X.getArray();
        for (int i = 0; i < m; i++) {
            for (int j = 0; j < n; j++) {
                C[j][i] = A[i][j];
            }
        }
        return X;
    }",1,0.9952723
"    public void delete(int id) throws FidoDatabaseException {
        try {
            Connection conn = null;
            Statement stmt = null;
            try {
                conn = fido.util.FidoDataSource.getConnection();
                conn.setAutoCommit(false);
                stmt = conn.createStatement();
                String sql = ""delete from Instructions where InstructionId = "" + id;
                stmt.executeUpdate(sql);
                sql = ""delete from InstructionGroups where InstructionId = "" + id;
                stmt.executeUpdate(sql);
                conn.commit();
            } catch (SQLException e) {
                if (conn != null) conn.rollback();
                throw e;
            } finally {
                if (stmt != null) stmt.close();
                if (conn != null) conn.close();
            }
        } catch (SQLException e) {
            throw new FidoDatabaseException(e);
        }
    }","    static void test() throws SQLException {
        Connection conn = null;
        Statement st = null;
        ResultSet rs = null;
        try {
            conn = JdbcUtils.getConnection();
            conn.setAutoCommit(false);
            st = conn.createStatement();
            String sql = ""update user set money=money-10 where id=15"";
            st.executeUpdate(sql);
            sql = ""select money from user where id=13"";
            rs = st.executeQuery(sql);
            float money = 0.0f;
            while (rs.next()) {
                money = rs.getFloat(""money"");
            }
            if (money > 1000) throw new RuntimeException(""�Ѿ��������ֵ��"");
            sql = ""update user set money=money+10 where id=13"";
            st.executeUpdate(sql);
            conn.commit();
        } catch (SQLException e) {
            if (conn != null) conn.rollback();
            throw e;
        } finally {
            JdbcUtils.free(rs, st, conn);
        }
    }",1,0.9973712
"    public Matrix transpose() {
        Matrix result = new Matrix(columns(), rows());
        for (int i = 0; i < rows(); i++) {
            for (int k = 0; k < columns(); k++) {
                result.elements[k][i] = elements[i][k];
            }
        }
        return result;
    }","    public float[][] getSubints() {
        int[][] subintsInt = this.getSubints(32, 1, 32);
        float[][] subintsfold = new float[subintsInt[0].length][subintsInt.length];
        for (int i = 0; i < subintsInt.length; i++) {
            for (int j = 0; j < subintsInt[0].length; j++) {
                subintsfold[j][i] = subintsInt[i][j];
            }
        }
        return subintsfold;
    }",1,0.99773693
"    private static Object resizeArray(Object oldArray, int newSize) {
        int oldSize = java.lang.reflect.Array.getLength(oldArray);
        Class elementType = oldArray.getClass().getComponentType();
        Object newArray = java.lang.reflect.Array.newInstance(elementType, newSize);
        int preserveLength = Math.min(oldSize, newSize);
        if (preserveLength > 0) System.arraycopy(oldArray, 0, newArray, 0, preserveLength);
        return newArray;
    }","    public static final Object addElementToArray(Object array, Object item) {
        Class fc = array.getClass().getComponentType();
        int n = Array.getLength(array);
        Object newArray = Array.newInstance(fc, n + 1);
        if (n > 0) System.arraycopy(array, 0, newArray, 0, n);
        Array.set(newArray, n, item);
        return newArray;
    }",1,0.9979937
